Title;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Gainage oblique sur le côté avec flexion de hanche;Obliques.;"Couché sur le côté.

Une main allongée au sol et l’autre derrière la tête.

Jambes tendues.";"Relever le buste en même temps que les deux genoux.

Amener les deux genoux vers la poitrine et toucher la cheville de la main.

Revenir en position départ.

Expirez à chaque relevé.";Gainage, Oblique;3x 15 à 20 répétitions;aucune
;;;;;;
3.2 - Fente sol + haltère;fessier, cuisse, ischio, mollet.;"Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchi et la jambe relâchée.

Haltères aux mains";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";;3x 15 répétitions;Genoux
Pompe à genoux mains sur le bosu;Pectoraux, triceps, abdominaux.;"Les genoux à 45°, les mains légèrement vers l’avant sur le bosu.

Courbe lombaire neutre.";"Descendre le buste en fléchissant les deux coudes et toucher le bosu.

Puis remonter les bras tendus sans bloquer les coudes.

Maintenir le plus possible le bosu stable.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
4.1 - Fente arrière + fente avant avec haltère.;fessier, cuisse, ischio, mollet.;"Pieds largeur des épaules.

Haltère aux mains.";"Faire un pas en arrière et enchainer avec une flexion du genou.

Revenir en position de départ en mettant le poids du corps sur la jambe d’appui.

Repartir avec la même jambe en faisant un pas en avant et une flexion du genou.

Revenir en position de départ.

Inspirer sur la descente et tenir les abdominaux";Jambe;3X 12 à 15 Répétitions;Genoux
Elévation latérale 1 bras devant + élastique;épaules, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.

Les bras tendus vers l’avant sous le bassin.

Les poignets dirigés vers l’intérieur.";"Tirer l’élastique sur le côté et amener les mains à hauteur des épaules et pas plus !

Revenir lentement en maintenant les bras tendus sans bloquer les coudes, en position de départ.

Tenir les abdominaux.";Elévation;3x15 répétitions;épaule
DV debout position de fente + poulie milieu;Pectoraux, triceps.;"Genoux et cheville de la jambe avant alignés.

Le genou de la jambe arrière est fléchi.

Le dos penché en avant à partir des hanches.

La courbe lombaire neutre.

Les coudes fléchis à 90° et les mains sous les épaules.";"Tendre les bras et le rejoindre en fin de mouvement sans bloquer les coudes.

Revenir les coudes fléchis à 90° derrière les épaules.

Tenir les abdominaux.";Développé;3x12 répétitions;épaule
Développé nuque;Epaule;"Assis sur le siège

Les coudes fléchis le long du corps.

Courbe lombaire neutre.";"Tendre les deux bras sans bloquer les coudes.

Revenir lentement en position de départ.

Tenir les abdominaux.";Epaule;3x 12 répétitions;épaule
;;;;;;
Squat + biceps curl;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Bras tendu le long du corps.

Haltère aux mains.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux et fléchir les deux coudes.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x15 répétitions;genoux
1.4 - Extension de jambes tendues avec ballon au cheville et tête au sol;Transverse – muscle profond de l’abdomen, épaule;"Couché sur le dos.

Courbe lombaire neutre.

Bras le long du corps.

Jambes tendues à 90°";"Tendre les jambes l’une après l’autre entre 45° et 90° et descendre les bras à hauteur des oreilles.

Revenir en position départ.

Expirez à chaque extension de jambes.";Abdominaux;1x 15 à 20 répétitions;Lombalgie
Butterfly couché sol + haltère;Pectoraux, épaule, chaines postérieures.;"Couché au sol, les genoux fléchis avec les pieds au sol.

Les bras tendus avec les haltères à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre bras tendus sur le côté, à hauteur des épaules

Remonter les bras tendus sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Butterfly;3x12 répétitions;épaule
Pompe sur les pieds + mains sur le bosu;Pectoraux, triceps.;"Les mains légèrement en avant sur le bosu.

Les pieds écartés, ancrés au sol.

Courbe lombaire neutre.";"Descendre le buste en fléchissant les deux coudes et toucher le bosu.

Puis remonter les bras tendus sans bloquer les coudes.

Maintenir la stabilité du bosu.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Jumping jack avec band + bras;Cuisse, fessier.;"Debout, les pieds un peu plus large que les épaules.

Les bras le long du corps et la courbe lombaire neutre.

L’élastique bande autour et au-dessus des genoux.";"Sauter en ouvrant et en fermant les deux pieds tout en fléchissant légèrement les genoux et

en levant les bras au plafond.";Cardio;3x30 secondes;genoux
;;;;;;
Rowing + squat + poulie basse et corde;Grand dorsal, biceps.;"Debout genoux légèrement fléchis.

Pieds largeur des épaules ou plus.

Bras tenus vers le bas.

Courbe lombaire neutre.";"Debout genoux légèrement fléchis.

Pieds largeur des épaules ou plus.

Bras tenus vers le bas.

Courbe lombaire neutre.";Rowing;3X15 répétitions;aucune
;;;;;;
DV couché ballon + pieds banc + élastique;Pectoraux, triceps, chaines postérieures.;"La tête et les omoplates en appui sur le ballon, le bassin décollé, les pieds sur le banc.

Les bras tendus avec l’élastique à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre en fléchissant les coudes, légèrement sous les épaules.

Remonter les bras tendus sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Développé;3x12 répétitions;épaule, dos
Abduction des épaules;Epaule;"Assis sur le siège

Les coudes fléchis sur les coussinets le long du corps.

Courbe lombaire neutre.";"Monter les deux bras et amener les coudes à hauteur des épaules et pas plus.

Revenir lentement en position de départ.

Tenir les abdominaux.";Epaule;3x 12 répétitions;épaule
Rowing pieds bosu + squat;Grand dorsal, biceps.;"Debout genoux légèrement fléchis, pieds au centre et à l’extrémité du bosu.

Bras tendus vers le bas.

Courbe lombaire neutre.";"Descendre s’assoir en poussant le fessier vers l’arrière tout-en maintenant les bras tendus.

Amener l’arrière cuisse parallèlement au sol.

Remonter jambes tendues en tirant la corde entre le nombril et le sternum.

Tenir les abdominaux.";Rowing;3X15 répétitions;aucune
Squat sur le bosu + haltère;Fessier, cuisse, ischio, mollet.;"Debout sur le bosu, les pieds parallèles.

Haltère aux mains.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au bosu.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x15 répétitions;genoux, dos
Butterfly couché ballon + relevé de bassin + haltère;Pectoraux, épaules, chaines postérieures.;Les coudes fléchis à 90° et les mains sous les épaules.;"Descendre bras tendus sur le côté, à hauteur des épaules

Remonter les bras tendus sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Butterfly;3x12 répétitions;épaule, dos
;;;;;;
Course avec talon fesse;Fessier, cuisse, ischio, mollet.;Debout sur un pied, l’autre jambe à le talon près du fessier.;"Sauter sur un pied et en même temps amener le talon de l’autre jambe près de fessier.

Enchainer directement avec l’autre pied en maintenant les coudes près de la taille.

Tenir les abdominaux.";;3x30 secondes;aucune
6.3 - Pompe à genoux ou sur les pieds mains écartées;pectoraux, triceps.;"A quatre pattes, les mains plus larges que les épaules et les genoux à 45°.

Courbe lombaire neutre.";"Descendre le buste en fléchissant les deux coudes et rapprocher le visage du sol.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";;3x 15 répétitions;Epicondylite, épaules
9.6 - Jumping jack avec band mains à la taille;cuisse, fessier.;"Debout, les pieds un peu plus large que les épaules.

Les mains à la taille et la courbe lombaire neutre.

L’élastique bande autour et au-dessus des genoux.";"Sauter en ouvrant et en fermant les deux pieds tout en fléchissant légèrement les genoux.

Les mains à la taille";;3x 30 secondes;problème cardio vasculaire, genoux
Tirage bras tendus à genoux sol;Grand dorsal, triceps.;"A genoux au sol.

Bras tenus vers l’avant, main à hauteur des épaules.

Courbe lombaire neutre.";"Tirer la barre vers les cuisses.

Revenir lentement, mains à hauteur des épaules.

Tenir les abdominaux.";Tirage bras tendu;3X12 répétitions;douleur d’épaule
Oblique sur machine;Grand dorsal, biceps;"Assis avec le haut des épaules contre les coussinets.

Courbe lombaire neutre.

Les mains tiennent les sangles.";"Tourner sur le côté sans forcer avec les épaules.

Revenir vers l’axe central lentement et repartir.

Tenir les abdominaux.";Oblique;3x 12 répétitions;aucune
Crunch sur ballon et bras tendus;Droit de l’abdomen et transverse.;"Fessier et haut du dos sur le ballon.

Bras tendus derrière la tête.

Genoux fléchis et pieds au sol.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Maintenir les bras tendus.

Redescendre en posant le haut du dos sur le ballon.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;aucune
;;;;;;
Spoas illiaque un genou au sol + rotation;Spoas iliaque;"Le genou de la jambe avant est fléchit et aligné avec la cheville.

La jambe arrière est tendu avec le genou au sol.

Le dos droit et les mains sur la cuisse.";"Faire doucement un déport de poids de corps vers l’avant puis une rotation sur le côté.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Spoas illiaque;Maintenir 1 minute et plus.;aucune
;;;;;;
Dips jambes tendues;Triceps, épaules.;"Les mains sur le banc légèrement plus large que les épaules.

Les coudes fléchis à 90°.

Le corps près du banc si possible.

Les genoux fléchis.";"Tendre les bras sans bloquer les coudes, en restant près du banc.

Revenir lentement en fléchissant le coude à 90° sans monter les épaules.

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude)- instabilité d’épaule
Développé assis;pectoraux, triceps;"Assis avec le dos contre le siège.

La courbe lombaire neutre.

Les coudes fléchis à 90° et les mains sont sous les épaules.";"Tendre les bras et les rejoindre en fin de mouvement sans bloquer les coudes.

Revenir les coudes fléchis à 90°, légèrement derrière les épaules.

Tenir les abdominaux.";Pectoraux;3x 12 répétitions;épicondylite
;;;;;;
Fente avec main TRX;Fessier, cuisse, ischio, mollet.;"Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Les mains dans les sangles du TRX.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
6.6 - Course avec talon fesse;fessier, cuisse, ischio, mollet.;Debout sur un pied, l’autre jambe à le talon près du fessier.;"Sauter sur un pied et en même temps amener le talon de l’autre jambe près de fessier.

Enchainer directement avec l’autre pied en maintenant les coudes près de la taille.

Tenir les abdominaux.";;3x 30 secondes;Aucun
;;;;;;
Fente arrière skating;Fessier, cuisse, ischio, mollet.;Pieds largeur des épaules.;"Faire un pas sur le côté arrière et enchainer avec une flexion du genou.

Revenir en position de départ en mettant le poids du corps sur la jambe d’appui.

Repartir avec l’autre jambe.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x12 répétitions;problème de genoux
Adducteur assis au sol et grand écart;Adducteur;"Assis au sol.

Les deux jambes tendues et écartées sur le côté.

Le dos droit";"Pencher le buste vers l’avant en gardant le dos droit.

Amener le nombril vers le sol.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.";Abducteur;1x 60 secondes;problème de dos
;;;;;;
3.4 -  Squat avec poids du corps;fessier, cuisse, ischio, mollet.;Debout, pieds parallèles largeur des épaules;"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";;3x 15 à 20 répétitions;Aucune
Squat avec ballon au mur + haltère;Fessier, cuisse, ischio, mollet.;"Ballon contre le mur.

Positionner le ballon entre le haut du fessier et du milieu du dos

Les pieds en avant largeur des épaules.

Haltère aux mains.";"Descendre en poussant le fessier dans le ballon et en fléchissant les genoux.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x15 répétitions;genoux
Fente avant alterné sur 4 temps;Fessier, cuisse, ischio, mollet.;"Faire un pas en avant.

Enchainer avec une flexion du genou et l’aligner sous la cheville.

Tendre le genou avant en le maintenant sous la cheville.

Revenir en position de départ en mettant le poids du corps sur la jambe avant.

Repartir avec l’autre jambe.

Inspirer sur la descente et tenir les abdominaux.";"Faire un pas en avant.

Enchainer avec une flexion du genou et l’aligner sous la cheville.

Tendre le genou avant en le maintenant sous la cheville.

Revenir en position de départ en mettant le poids du corps sur la jambe avant.

Repartir avec l’autre jambe.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Extension de la colonne à genoux au sol;Fessier, cuisse, dos, abdominaux.;"A genoux au sol.

Courbe lombaire neutre.";"Faire une extension de la colonne en partant avec le haut du dos.

Revenir lentement en position de départ.

Maintenant la stabilité du tronc.

Abdominaux contactés.

Expirer lors de la montée.";Extension;3x15 répétitions;genoux, dos
Fente step up sur un banc;Fessier, cuisse, ischio, mollet.;Debout et pieds largeur des épaules.;"Monter sur le banc avec une jambe en transférant le poids du corps sur celle-ci.

Amener la deuxième jambe sur le banc.

Descendre lentement la première jambe puis la deuxième

Tenir les abdominaux.";Fente;3x12 répétitions;problème de genoux
Abdominaux couché au sol avec les bras tendus derrière la tête;Abdominaux;"Couché au sol.

Une jambe tendue au sol et l’autre fléchit.";"Amener les deux bras derrière la tête

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.";Spoas illiaque;1x 60 secondes;aucune
9.4 - Fente sauté mains à la taille;fessier, cuisse, ischio, mollet.;Pieds joins à la largeur des hanches et les mains à la taille.;"Sauté tout en fléchissant le genou de la jambe avant et arrière.

Maintenir le genou avant sous la cheville et l’arrière cuisse parallèlement au sol.

Remonter en sautant avec force et en même temps amener la jambe arrière devant en maintenant

l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";;3x 30 secondes;genoux
Pompe pieds sur le banc + mains bosu;Pectoraux, triceps, abdominaux.;"La tête et les omoplates en appui sur le ballon, bassin relevé et les pieds sur le banc.

Les bras tendus avec l’haltère à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes en stabilisant le bosu.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Gainage oblique sur le côté avec relevé de buste et de jambes;Obliques.;"Couché sur le côté.

Une main allongée au sol et l’autre au niveau du thorax.

Tête dans le prolongement de la colonne.

Jambes tendues.";"Relever le buste en même temps que les pieds.

Maintenir si possible la tête sur le bras.

Revenir en position départ.

Expirez à chaque relevé.";Gainage;3x 15 à 20 répétitions;aucune
9.8 - Squat JUMP;fessier, cuisse, ischio, mollet.;Debout, les pieds largeur des épaules ou un peu plus;"S’assoir en poussant le fessier en arrière et amener l’arrière cuisse parallèlement au sol et les

genoux dans l’axe des orteils. Le dos s’incline à 45° vers l’avant.

Puis se propulser avec force pour décoller du sol jambe tendu.

Se réceptionner en position assis et répéter le mouvement.";;3x 30 secondes;genoux
7.2 - Tirage poitrine debout en position de fente + élastique;Grand dorsal, biceps.;"Genou avant sous la cheville. La jambe arrière fléchit.

Bras tenus vers l’avant.";"Tirer les coudes vers l’arrière et resserrer les omoplates.

Les mains viennent au niveau de l’épaule.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";;3x 12 répétitions;Aucune
;;;;;;
Triceps à genoux au sol + poulie et corde;Triceps, épaules.;"A genoux au sol.

Les bras fléchis à 90 °

Allonger la colonne vertébrale.";"Tendre les bras sans écarter les coudes de la taille puis revenir en fléchissant les coudes à

90°.

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude)
Triceps assis sur le ballon + haltère dos;Triceps, épaules, abdominaux.;"Assis sur le ballon avec la courbe lombaire neutre.

Les bras tendus le long des oreilles

Allonger la colonne vertébrale.";"Descendre l’haltère derrière la tête en fléchissant les coudes.

Puis tendre les bras sans écarter les coudes pour revenir en position de départ.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite
Bucheron 2 pieds sol + main ballon + haltère;Grand dorsal, lombaire, biceps.;"Jambes tendues avec les genou fléchis.

Une main en appui sur le ballon et le dos incliné vers l’avant. Bras tendu et dirigé vers le sol.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers l’arrière et amener l’haltère vers la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Bucheron;3X15 répétitions;aucune
Fente pied arrière TRX;Fessier, cuisse, ischio, mollet, cheville.;"Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Pied dans la sangle du TRX.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximum.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Triceps sur 1 pieds + 1 main sur le ballon + haltère;Triceps, épaules, abdominaux.;"En appui sur une jambe. L’autre jambe est tendue avec le genou fléchit et décollé du sol.

Le coude fléchit à 90° près du corps.

Courbe du dos neutre et incliné vers l’avant.

Tête dans le prolongement de la colonne vertébrale.";"Tendre le bras sans bouger le coude.

Revenir lentement en fléchissant le coude à 90°

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude)- douleur lombaire
Pompe à genoux mains serrées;Pectoraux, triceps.;"A quatre pattes, les mains largeur des épaules et les genoux à 45°.

Courbe lombaire neutre.";"Descendre le buste en fléchissant les deux coudes près du corps.

Rapprocher le visage du sol.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
9.7 - Squat avec haltères;fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Haltère aux mains.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";;3x 30 secondes;genoux
;;;;;;
Extension de jambes tendues avec ballon au cheville et tête au sol;Transverse – muscle profond de l’abdomen, épaule.;"Couché sur le dos.

Courbe lombaire neutre.

Bras le long du corps.

Jambes tendues à 90°";"Tendre les jambes l’une après l’autre entre 45° et 90° et descendre les bras à hauteur des oreilles.

Revenir en position départ.

Expirez à chaque extension de jambes.";Extension;3x 15 à 20 répétitions;lombalgie
Crunch sur ballon avec pieds au sol;Droit de l’abdomen et transverse.;"Couché sur le dos.

Tête au sol et mains tendues derrière.

Courbe lombaire neutre.

Jambes tendues à 45°

Ballon aux chevilles.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Ramener le ballon dans les mains et redescendre le buste.

Relever le buste avec le ballon dans les mains et le transférer aux chevilles.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;aucune
4.8 - Abduction coucher sur le côté avec les deux jambes;Moyen fessier;"Couché sur le côté. La tête repose sur un bras et l’autre main est en maintien devant le corps.

Ouvrir la cage thoracique et laisser un espace au niveau de votre taille.

Les pieds sont joints.

Abdominaux contractés.";"Soulever les deux jambes en décollant le genou et le milieu de la cuisse du sol.

Revenir sans poser les pieds au sol et repartir.

Expirer lors de l’abduction.";Jambe;3X 12 à 15 Répétitions;Aucune
Rowing 1 bras + position de fente + poulie basse;Grand dorsal, biceps, cuisse.;"Le genou fléchis et la cheville de la jambe avant sont alignés.

La jambe de derrière est fléchie.

Bras tendu vers le bas.

Courbe lombaire neutre.";"Maintenir la posture statique et tirer le coude vers l’arrière.

La main vient à hauteur de la taille.

Tirer le coude vers la taille.

Tenir les abdominaux.";Rowing;3X12 répétitions;douleur d’épaule et épicondylite
2.1 - Planche au sol + monter sur main;Transverse, épaule.;"Coude et épaule alignés en appuie sur les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Venir en appui sur les mains l’une après l’autre.

Revenir sur les avant-bras.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";;3X 30 à 60 secondes;Problème cardio vasculaire, épaule
6.7 - Rowing position de squat + barre;Grand dorsal, biceps.;"Debout, les genoux fléchis. Dos incliné vers l’avant.

Bras tendus. Mains à la barre, largeur des hanches.

Poignet dirigé soit vers le haut, soit vers le bas.

Courbe lombaire neutre.";"Tirer la barre vers le nombril.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";;3x 15 répétitions;Genoux
Abduction de hanche statique coucher et pieds au sol ;Abducteur, TFL, fessier, ischio, dos.;"Couché sur le sol, les pieds largeur du bassin.

L’élastique band au-dessus des genoux.";"Monter le fessier et aligner les genoux, les hanches et les épaules.

Maintenir et faire des petits mouvements.

Le poids du corps repose sur le haut des omoplates.

Ramener les genoux dans l’axe des hanches et redescendre.

Expirer lors du mouvement et tenir les abdominaux.";Abduction;3x 15 répétitions;aucune
Tirage poitrine à genoux bosu + 2 bras et élastique;Grand dorsal, biceps.;"A genoux au centre du bosu.

Bras tenus vers l’avant.

Courbe lombaire neutre.";"Tirer les coudes vers l’arrière et resserrer les omoplates.

Les mains viennent vers les épaules.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Gainage planche avant-bras sur le bosu.;Transverse, épaule.;"Coude et épaule alignés en appuie sur le bosu.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 30 à 60 secondes.;problème cardio vasculaire
Abduction de hanche statique coucher et les pieds banc;Abducteur, TFL, fessier, ischio, dos.;"Couché sur le sol, les fessiers près du banc et les pieds largeur du bassin sur le banc.

L’élastique band au-dessus des genoux.";"Monter le fessier et aligner les genoux, les hanches et les épaules.

Maintenir et faire des petits mouvements.

Le poids du corps repose sur le haut des omoplates.

Expirer lors du mouvement et tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;aucune
DV couché ballon + haltère;Pectoraux, triceps, chaines postérieures.;"La tête et les omoplates en appui sur le ballon, le bassin décollé, les pieds au sol.

Les bras tendus avec les haltères à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre les haltères légèrement sous les épaules en fléchissant les coudes.

Remonter les bras tendus sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Développé;3x12 répétitions;épaule
Fente une jambe + touché bosu;Fessier, ischio, mollet, dos.;"Pousser le fessier vers l’arrière et fléchir le genou afin de toucher le bosu.

Revenir en tendant le genou et en redressant le tronc.

Tenir les abdominaux. Expirer lors de la monté.";"Pousser le fessier vers l’arrière et fléchir le genou afin de toucher le bosu.

Revenir en tendant le genou et en redressant le tronc.

Tenir les abdominaux. Expirer lors de la monté.";Fente;3x15 répétitions;genoux
Course avec levé de genoux;Fessier, cuisse, ischio, mollet.;Debout, pieds joins à la largeur des hanches et les bras le long du corps.;"Sauter sur un pied et en même temps monter un genou après l’autre si possible dans un angle de 90°.

Les bras se coordonnes au mouvement ou garder les coudes à la taille.

Tenir les abdominaux.";Cardio;3x30 secondes;genoux
;;;;;;
Ischios debout + jambe tendue et un pied sur le banc;Ischios;Debout en appui sur une jambe avec le genou souple.;"Poser le pied sur un petit banc.

Tendre la jambe vers l’avant avec le pied flexe.

Pousser le fessier vers l’arrière et le talon vers l’avant

Pencher le buste vers l’avant en gardant le dos droit avec l’aide de vos mains posées la cuisse.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Ischio;Maintenir 1 minute et plus.;aucune
Biceps debout 1 bras + élastique;Biceps, épaules, abdominaux.;"Debout, pieds largeur des épaules ou un peu plus.

Le bras tendu sur le côté. La main et le coude légèrement sous l’épaule.

La courbe lombaire neutre.";"Tirer l’élastique près des bras en fléchissant les coudes.

Puis tendre le bras, sans bloquer le coude, pour revenir en position de départ.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)-épaule
5.7 - Extension de hanche à quatre pattes + élastique;fessier, ischio, épaules, abdominaux.;"A quatre pattes, en appui sur les avant-bras.

Coudes et épaules alignées.

Genoux et hanche forme un angle de 90°.

Une jambe avec le genou fléchis.

Elastique au centre du corps.

Courbe lombaire neutre.";"Monter la jambe un peu plus haut que le fessier.

Revenir toucher la pointe des pieds au sol et repartir.

Expirer lors de la montée.";Cuisse;3x 15 répétitions;Aucune
Fente 1 jambe départ sur le banc;Fessier, cuisse, ischio, mollet, cheville.;"Faire une flexion du genou de la jambe d’appui.

Descendre la jambe arrière en poussant légèrement le fessier de la jambe d’appui vers

l’arrière.

Remonter en position de départ sans bloquer le genou.

Inspirer sur la descente.

Tenir les abdominaux.";"Faire une flexion du genou de la jambe d’appui.

Descendre la jambe arrière en poussant légèrement le fessier de la jambe d’appui vers l’arrière.

Remonter en position de départ sans bloquer le genou.

Inspirer sur la descente.

Tenir les abdominaux.";Fente;3x15 répétitions;genoux
Traction horizontale TRX jambe tendues + tout niveau;Grand dorsal, biceps.;"Jambes tendues en appui sur les pieds.

Prise des sangles largeur des épaules et les bras tendus.

Le corps à très peu d’inclinaison.

Courbe lombaire neutre.";"Soulever son poids de corps en fléchissant les coudes et amener les mains vers l’extérieur de

la poitrine.

Maintenir la stabilité du bassin.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Traction;3X15 répétitions;épaule
Fente sur 2 bosu + haltère;Fessier, cuisse, ischio, mollet, cheville.;"Pied avant et pied arrière sur le centre du bosu.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Haltère aux mains.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Tirage poitrine couché sur le ballon + élastique croisé;Grand dorsal, biceps.;"La tête et les omoplates sur le ballon

Bras tendus vers le haut.

Courbe lombaire neutre.";"Tirer les coudes sur le côté et toucher le ballon.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Ischios leg curl + 2 pieds sur le ballon;Ischio, dos.;"Couché au sol avec les deux pieds sur le ballon.

Soulever les hanches et aligner si possible les épaules, le bassin et les genoux.

Abdominaux contractés.";"Fléchir les genoux et faire rouler le ballon vers le fessier.

Revenir en position de départ sans tendre les jambes.

Expirer lors de la flexion.";Ischio;3x15 répétitions;aucune
Pullover couché ballon + barre;Pectoraux, épaules, triceps.;"La tête et les omoplates en appui sur le ballon, bassin relevé et les pieds au sol.

Les bras tendus avec la barre à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre la barre, les bras tendus derrière la tête sans bloquer les coudes à hauteur des oreilles.

Puis remonter les bras tendus vers l’avant, à hauteur des côtes.

Tenir les abdominaux.";Pullover;3x12 répétitions;épaule
Squat statique sur le bosu;Fessier, cuisse, ischio, mollet.;"Les pieds parallèles sur le bosu.

Les genoux à 90°.";"Amener les arrières cuisses parallèlement au sol et maintenir la posture.

Tenir les abdominaux.";Squat;3x30 à 60 répétitions;genoux
;;;;;;
